"X.Intercept.","c.TURB","fSECTION","z.DAYNO","z.EDGED","z.MINTEMP","z.pTREE","z.TTMIDN","I.z.TTMIDN.2.","z.WINDS","c.TURB.fSECTION","df","logLik","AICc","delta","weight","mR2","cR2"
-1.319,NA,"+",0.491,0.49,NA,0.35,-0.2,-0.561,-0.694,NA,13,-797.336,1620.936,0,0.244,0.204,0.391
-1.048,NA,NA,0.504,0.507,NA,0.416,-0.193,-0.581,-0.706,NA,9,-801.855,1621.841,0.905,0.155,0.201,0.389
-1.32,0.182,"+",0.503,0.493,NA,0.355,-0.19,-0.549,-0.689,NA,14,-796.924,1622.152,1.217,0.133,0.213,0.394
-1.335,NA,"+",0.506,0.493,-0.08,0.349,-0.201,-0.559,-0.702,NA,14,-797.102,1622.509,1.573,0.111,0.209,0.391
-1.037,0.174,NA,0.512,0.505,NA,0.421,-0.183,-0.568,-0.697,NA,10,-801.49,1623.139,2.203,0.081,0.207,0.391
-1.305,-0.075,"+",0.506,0.544,NA,0.333,-0.19,-0.565,-0.683,"+",18,-793.447,1623.392,2.456,0.072,0.222,0.402
-1.053,NA,NA,0.517,0.505,-0.078,0.415,-0.193,-0.577,-0.709,NA,10,-801.636,1623.431,2.495,0.07,0.204,0.387
-1.325,0.189,"+",0.516,0.491,-0.086,0.354,-0.189,-0.545,-0.692,NA,15,-796.655,1623.657,2.722,0.063,0.216,0.392
-1.042,0.18,NA,0.526,0.503,-0.084,0.42,-0.182,-0.564,-0.7,NA,11,-801.236,1624.663,3.727,0.038,0.21,0.388
-1.31,-0.069,"+",0.52,0.542,-0.084,0.332,-0.188,-0.561,-0.686,"+",19,-793.19,1624.932,3.996,0.033,0.225,0.4
-1.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-853.051,1712.119,91.183,0,0,0.274
